,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,COMPOUND_ABBREVIATION,COMPOUND_NO,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL
3017728003,103,10,5,allyl alcohol,AA,00010,Repeat,Gavage,8 day,10,mg/kg,Middle
3017726001,103,11,1,allyl alcohol,AA,00010,Repeat,Gavage,15 day,10,mg/kg,Middle
3017726002,103,11,2,allyl alcohol,AA,00010,Repeat,Gavage,15 day,10,mg/kg,Middle
3017726003,103,11,5,allyl alcohol,AA,00010,Repeat,Gavage,15 day,10,mg/kg,Middle
3017726013,103,12,2,allyl alcohol,AA,00010,Repeat,Gavage,29 day,10,mg/kg,Middle
3017726014,103,12,3,allyl alcohol,AA,00010,Repeat,Gavage,29 day,10,mg/kg,Middle
3017726015,103,12,5,allyl alcohol,AA,00010,Repeat,Gavage,29 day,10,mg/kg,Middle
3017727022,103,13,3,allyl alcohol,AA,00010,Repeat,Gavage,4 day,30,mg/kg,High
3017727023,103,13,4,allyl alcohol,AA,00010,Repeat,Gavage,4 day,30,mg/kg,High
3017727024,103,13,5,allyl alcohol,AA,00010,Repeat,Gavage,4 day,30,mg/kg,High
3017728004,103,14,1,allyl alcohol,AA,00010,Repeat,Gavage,8 day,30,mg/kg,High
3017728005,103,14,2,allyl alcohol,AA,00010,Repeat,Gavage,8 day,30,mg/kg,High
3017728006,103,14,4,allyl alcohol,AA,00010,Repeat,Gavage,8 day,30,mg/kg,High
3017726004,103,15,3,allyl alcohol,AA,00010,Repeat,Gavage,15 day,30,mg/kg,High
3017726005,103,15,4,allyl alcohol,AA,00010,Repeat,Gavage,15 day,30,mg/kg,High
3017726006,103,15,5,allyl alcohol,AA,00010,Repeat,Gavage,15 day,30,mg/kg,High
3017726016,103,16,2,allyl alcohol,AA,00010,Repeat,Gavage,29 day,30,mg/kg,High
3017726017,103,16,3,allyl alcohol,AA,00010,Repeat,Gavage,29 day,30,mg/kg,High
3017726018,103,16,4,allyl alcohol,AA,00010,Repeat,Gavage,29 day,30,mg/kg,High
3017706025,113,1,1,indomethacin,IM,00015,Repeat,Gavage,4 day,0,mg/kg,Control
3017706026,113,1,2,indomethacin,IM,00015,Repeat,Gavage,4 day,0,mg/kg,Control
3017706027,113,1,4,indomethacin,IM,00015,Repeat,Gavage,4 day,0,mg/kg,Control
3017707007,113,2,1,indomethacin,IM,00015,Repeat,Gavage,8 day,0,mg/kg,Control
3017707008,113,2,3,indomethacin,IM,00015,Repeat,Gavage,8 day,0,mg/kg,Control
3017707009,113,2,4,indomethacin,IM,00015,Repeat,Gavage,8 day,0,mg/kg,Control
3017708013,113,3,1,indomethacin,IM,00015,Repeat,Gavage,15 day,0,mg/kg,Control
3017708014,113,3,3,indomethacin,IM,00015,Repeat,Gavage,15 day,0,mg/kg,Control
3017708015,113,3,5,indomethacin,IM,00015,Repeat,Gavage,15 day,0,mg/kg,Control
3017708025,113,4,1,indomethacin,IM,00015,Repeat,Gavage,29 day,0,mg/kg,Control
3017708026,113,4,2,indomethacin,IM,00015,Repeat,Gavage,29 day,0,mg/kg,Control
3017708027,113,4,4,indomethacin,IM,00015,Repeat,Gavage,29 day,0,mg/kg,Control
3017706028,113,5,1,indomethacin,IM,00015,Repeat,Gavage,4 day,1,mg/kg,Low
3017706029,113,5,2,indomethacin,IM,00015,Repeat,Gavage,4 day,1,mg/kg,Low
3017706030,113,5,5,indomethacin,IM,00015,Repeat,Gavage,4 day,1,mg/kg,Low
3017707010,113,6,3,indomethacin,IM,00015,Repeat,Gavage,8 day,1,mg/kg,Low
3017707011,113,6,4,indomethacin,IM,00015,Repeat,Gavage,8 day,1,mg/kg,Low
3017707012,113,6,5,indomethacin,IM,00015,Repeat,Gavage,8 day,1,mg/kg,Low
3017708016,113,7,2,indomethacin,IM,00015,Repeat,Gavage,15 day,1,mg/kg,Low
3017708017,113,7,3,indomethacin,IM,00015,Repeat,Gavage,15 day,1,mg/kg,Low
3017708018,113,7,5,indomethacin,IM,00015,Repeat,Gavage,15 day,1,mg/kg,Low
3017708028,113,8,1,indomethacin,IM,00015,Repeat,Gavage,29 day,1,mg/kg,Low
3017708029,113,8,2,indomethacin,IM,00015,Repeat,Gavage,29 day,1,mg/kg,Low
3017708030,113,8,4,indomethacin,IM,00015,Repeat,Gavage,29 day,1,mg/kg,Low
3017707001,113,9,1,indomethacin,IM,00015,Repeat,Gavage,4 day,2,mg/kg,Middle
3017707002,113,9,3,indomethacin,IM,00015,Repeat,Gavage,4 day,2,mg/kg,Middle
3017707003,113,9,5,indomethacin,IM,00015,Repeat,Gavage,4 day,2,mg/kg,Middle
3017707013,113,10,1,indomethacin,IM,00015,Repeat,Gavage,8 day,2,mg/kg,Middle
3017707014,113,10,2,indomethacin,IM,00015,Repeat,Gavage,8 day,2,mg/kg,Middle
3017707015,113,10,4,indomethacin,IM,00015,Repeat,Gavage,8 day,2,mg/kg,Middle
3017708019,113,11,1,indomethacin,IM,00015,Repeat,Gavage,15 day,2,mg/kg,Middle
3017708020,113,11,2,indomethacin,IM,00015,Repeat,Gavage,15 day,2,mg/kg,Middle
3017708021,113,11,4,indomethacin,IM,00015,Repeat,Gavage,15 day,2,mg/kg,Middle
3017709001,113,12,1,indomethacin,IM,00015,Repeat,Gavage,29 day,2,mg/kg,Middle
3017709002,113,12,4,indomethacin,IM,00015,Repeat,Gavage,29 day,2,mg/kg,Middle
3017709003,113,12,5,indomethacin,IM,00015,Repeat,Gavage,29 day,2,mg/kg,Middle
3017707004,113,13,1,indomethacin,IM,00015,Repeat,Gavage,4 day,5,mg/kg,High
3017707005,113,13,2,indomethacin,IM,00015,Repeat,Gavage,4 day,5,mg/kg,High
3017707006,113,13,4,indomethacin,IM,00015,Repeat,Gavage,4 day,5,mg/kg,High
3017707016,113,14,1,indomethacin,IM,00015,Repeat,Gavage,8 day,5,mg/kg,High
3017707017,113,14,4,indomethacin,IM,00015,Repeat,Gavage,8 day,5,mg/kg,High
3017707018,113,14,5,indomethacin,IM,00015,Repeat,Gavage,8 day,5,mg/kg,High
3017708022,113,15,4,indomethacin,IM,00015,Repeat,Gavage,15 day,5,mg/kg,High
3017708023,113,16,1,indomethacin,IM,00015,Repeat,Gavage,15 day,5,mg/kg,High
3017708024,113,16,3,indomethacin,IM,00015,Repeat,Gavage,15 day,5,mg/kg,High
3017738017,115,1,2,chlorpromazine,CPZ,00016,Repeat,Gavage,4 day,0,mg/kg,Control
3017738018,115,1,3,chlorpromazine,CPZ,00016,Repeat,Gavage,4 day,0,mg/kg,Control
3017738019,115,1,4,chlorpromazine,CPZ,00016,Repeat,Gavage,4 day,0,mg/kg,Control
3017738029,115,2,1,chlorpromazine,CPZ,00016,Repeat,Gavage,8 day,0,mg/kg,Control
3017738030,115,2,4,chlorpromazine,CPZ,00016,Repeat,Gavage,8 day,0,mg/kg,Control
3017739001,115,2,5,chlorpromazine,CPZ,00016,Repeat,Gavage,8 day,0,mg/kg,Control
3017739011,115,3,1,chlorpromazine,CPZ,00016,Repeat,Gavage,15 day,0,mg/kg,Control
3017739012,115,3,2,chlorpromazine,CPZ,00016,Repeat,Gavage,15 day,0,mg/kg,Control
3017739013,115,3,4,chlorpromazine,CPZ,00016,Repeat,Gavage,15 day,0,mg/kg,Control
3017739023,115,4,2,chlorpromazine,CPZ,00016,Repeat,Gavage,29 day,0,mg/kg,Control
3017739024,115,4,3,chlorpromazine,CPZ,00016,Repeat,Gavage,29 day,0,mg/kg,Control
3017739025,115,4,5,chlorpromazine,CPZ,00016,Repeat,Gavage,29 day,0,mg/kg,Control
3017738020,115,5,1,chlorpromazine,CPZ,00016,Repeat,Gavage,4 day,5,mg/kg,Low
3017738021,115,5,4,chlorpromazine,CPZ,00016,Repeat,Gavage,4 day,5,mg/kg,Low
3017738022,115,5,5,chlorpromazine,CPZ,00016,Repeat,Gavage,4 day,5,mg/kg,Low
3017739002,115,6,2,chlorpromazine,CPZ,00016,Repeat,Gavage,8 day,5,mg/kg,Low
3017739003,115,6,3,chlorpromazine,CPZ,00016,Repeat,Gavage,8 day,5,mg/kg,Low
3017739004,115,6,4,chlorpromazine,CPZ,00016,Repeat,Gavage,8 day,5,mg/kg,Low
3017739014,115,7,2,chlorpromazine,CPZ,00016,Repeat,Gavage,15 day,5,mg/kg,Low
3017739015,115,7,3,chlorpromazine,CPZ,00016,Repeat,Gavage,15 day,5,mg/kg,Low
3017739016,115,7,4,chlorpromazine,CPZ,00016,Repeat,Gavage,15 day,5,mg/kg,Low
3017739026,115,8,2,chlorpromazine,CPZ,00016,Repeat,Gavage,29 day,5,mg/kg,Low
3017739027,115,8,3,chlorpromazine,CPZ,00016,Repeat,Gavage,29 day,5,mg/kg,Low
3017739028,115,8,4,chlorpromazine,CPZ,00016,Repeat,Gavage,29 day,5,mg/kg,Low
3017738023,115,9,1,chlorpromazine,CPZ,00016,Repeat,Gavage,4 day,15,mg/kg,Middle
3017738024,115,9,2,chlorpromazine,CPZ,00016,Repeat,Gavage,4 day,15,mg/kg,Middle
3017738025,115,9,4,chlorpromazine,CPZ,00016,Repeat,Gavage,4 day,15,mg/kg,Middle
3017739005,115,10,2,chlorpromazine,CPZ,00016,Repeat,Gavage,8 day,15,mg/kg,Middle
3017739006,115,10,3,chlorpromazine,CPZ,00016,Repeat,Gavage,8 day,15,mg/kg,Middle
3017739007,115,10,4,chlorpromazine,CPZ,00016,Repeat,Gavage,8 day,15,mg/kg,Middle
3017739017,115,11,1,chlorpromazine,CPZ,00016,Repeat,Gavage,15 day,15,mg/kg,Middle
3017739018,115,11,4,chlorpromazine,CPZ,00016,Repeat,Gavage,15 day,15,mg/kg,Middle
3017739019,115,11,5,chlorpromazine,CPZ,00016,Repeat,Gavage,15 day,15,mg/kg,Middle
3017739029,115,12,2,chlorpromazine,CPZ,00016,Repeat,Gavage,29 day,15,mg/kg,Middle
3017739030,115,12,4,chlorpromazine,CPZ,00016,Repeat,Gavage,29 day,15,mg/kg,Middle
3017740001,115,12,5,chlorpromazine,CPZ,00016,Repeat,Gavage,29 day,15,mg/kg,Middle
3017738026,115,13,1,chlorpromazine,CPZ,00016,Repeat,Gavage,4 day,45,mg/kg,High
3017738027,115,13,2,chlorpromazine,CPZ,00016,Repeat,Gavage,4 day,45,mg/kg,High
3017738028,115,13,4,chlorpromazine,CPZ,00016,Repeat,Gavage,4 day,45,mg/kg,High
3017739008,115,14,1,chlorpromazine,CPZ,00016,Repeat,Gavage,8 day,45,mg/kg,High
3017739009,115,14,3,chlorpromazine,CPZ,00016,Repeat,Gavage,8 day,45,mg/kg,High
3017739010,115,14,5,chlorpromazine,CPZ,00016,Repeat,Gavage,8 day,45,mg/kg,High
3017739020,115,15,1,chlorpromazine,CPZ,00016,Repeat,Gavage,15 day,45,mg/kg,High
3017739021,115,15,4,chlorpromazine,CPZ,00016,Repeat,Gavage,15 day,45,mg/kg,High
3017739022,115,15,5,chlorpromazine,CPZ,00016,Repeat,Gavage,15 day,45,mg/kg,High
3017740002,115,16,1,chlorpromazine,CPZ,00016,Repeat,Gavage,29 day,45,mg/kg,High
3017741001,115,16,3,chlorpromazine,CPZ,00016,Repeat,Gavage,29 day,45,mg/kg,High
3017741002,115,16,5,chlorpromazine,CPZ,00016,Repeat,Gavage,29 day,45,mg/kg,High
3017655026,116,1,1,thioacetamide,TAA,00017,Single,Gavage,3 hr,0,mg/kg,Control
3017655027,116,1,2,thioacetamide,TAA,00017,Single,Gavage,3 hr,0,mg/kg,Control
3017655028,116,1,3,thioacetamide,TAA,00017,Single,Gavage,3 hr,0,mg/kg,Control
3017656008,116,2,1,thioacetamide,TAA,00017,Single,Gavage,6 hr,0,mg/kg,Control
3017656009,116,2,2,thioacetamide,TAA,00017,Single,Gavage,6 hr,0,mg/kg,Control
3017656010,116,2,4,thioacetamide,TAA,00017,Single,Gavage,6 hr,0,mg/kg,Control
3017663006,116,3,2,thioacetamide,TAA,00017,Single,Gavage,9 hr,0,mg/kg,Control
3017663007,116,3,4,thioacetamide,TAA,00017,Single,Gavage,9 hr,0,mg/kg,Control
3017663008,116,3,5,thioacetamide,TAA,00017,Single,Gavage,9 hr,0,mg/kg,Control
3017663018,116,4,1,thioacetamide,TAA,00017,Single,Gavage,24 hr,0,mg/kg,Control
3017663019,116,4,3,thioacetamide,TAA,00017,Single,Gavage,24 hr,0,mg/kg,Control
3017663020,116,4,4,thioacetamide,TAA,00017,Single,Gavage,24 hr,0,mg/kg,Control
3017655029,116,5,1,thioacetamide,TAA,00017,Single,Gavage,3 hr,5,mg/kg,Low
3017655030,116,5,4,thioacetamide,TAA,00017,Single,Gavage,3 hr,5,mg/kg,Low
3017656001,116,5,5,thioacetamide,TAA,00017,Single,Gavage,3 hr,5,mg/kg,Low
3017656011,116,6,1,thioacetamide,TAA,00017,Single,Gavage,6 hr,5,mg/kg,Low
3017656012,116,6,2,thioacetamide,TAA,00017,Single,Gavage,6 hr,5,mg/kg,Low
3017656013,116,6,5,thioacetamide,TAA,00017,Single,Gavage,6 hr,5,mg/kg,Low
3017663009,116,7,1,thioacetamide,TAA,00017,Single,Gavage,9 hr,5,mg/kg,Low
3017663010,116,7,3,thioacetamide,TAA,00017,Single,Gavage,9 hr,5,mg/kg,Low
3017663011,116,7,5,thioacetamide,TAA,00017,Single,Gavage,9 hr,5,mg/kg,Low
3017663021,116,8,1,thioacetamide,TAA,00017,Single,Gavage,24 hr,5,mg/kg,Low
3017663022,116,8,4,thioacetamide,TAA,00017,Single,Gavage,24 hr,5,mg/kg,Low
3017663023,116,8,5,thioacetamide,TAA,00017,Single,Gavage,24 hr,5,mg/kg,Low
3017656002,116,9,1,thioacetamide,TAA,00017,Single,Gavage,3 hr,15,mg/kg,Middle
3017656003,116,9,2,thioacetamide,TAA,00017,Single,Gavage,3 hr,15,mg/kg,Middle
3017656004,116,9,4,thioacetamide,TAA,00017,Single,Gavage,3 hr,15,mg/kg,Middle
3017656014,116,10,1,thioacetamide,TAA,00017,Single,Gavage,6 hr,15,mg/kg,Middle
3017656015,116,10,3,thioacetamide,TAA,00017,Single,Gavage,6 hr,15,mg/kg,Middle
3017656016,116,10,5,thioacetamide,TAA,00017,Single,Gavage,6 hr,15,mg/kg,Middle
3017663012,116,11,2,thioacetamide,TAA,00017,Single,Gavage,9 hr,15,mg/kg,Middle
3017663013,116,11,3,thioacetamide,TAA,00017,Single,Gavage,9 hr,15,mg/kg,Middle
3017663014,116,11,4,thioacetamide,TAA,00017,Single,Gavage,9 hr,15,mg/kg,Middle
3017663024,116,12,2,thioacetamide,TAA,00017,Single,Gavage,24 hr,15,mg/kg,Middle
3017663025,116,12,4,thioacetamide,TAA,00017,Single,Gavage,24 hr,15,mg/kg,Middle
3017663026,116,12,5,thioacetamide,TAA,00017,Single,Gavage,24 hr,15,mg/kg,Middle
3017656005,116,13,1,thioacetamide,TAA,00017,Single,Gavage,3 hr,45,mg/kg,High
3017656006,116,13,2,thioacetamide,TAA,00017,Single,Gavage,3 hr,45,mg/kg,High
3017656007,116,13,4,thioacetamide,TAA,00017,Single,Gavage,3 hr,45,mg/kg,High
3017656017,116,14,1,thioacetamide,TAA,00017,Single,Gavage,6 hr,45,mg/kg,High
3017656018,116,14,4,thioacetamide,TAA,00017,Single,Gavage,6 hr,45,mg/kg,High
3017656019,116,14,5,thioacetamide,TAA,00017,Single,Gavage,6 hr,45,mg/kg,High
3017663015,116,15,1,thioacetamide,TAA,00017,Single,Gavage,9 hr,45,mg/kg,High
3017663016,116,15,2,thioacetamide,TAA,00017,Single,Gavage,9 hr,45,mg/kg,High
3017663017,116,15,5,thioacetamide,TAA,00017,Single,Gavage,9 hr,45,mg/kg,High
3017663027,116,16,3,thioacetamide,TAA,00017,Single,Gavage,24 hr,45,mg/kg,High
3017663028,116,16,4,thioacetamide,TAA,00017,Single,Gavage,24 hr,45,mg/kg,High
3017663029,116,16,5,thioacetamide,TAA,00017,Single,Gavage,24 hr,45,mg/kg,High
3017664024,117,1,1,thioacetamide,TAA,00017,Repeat,Gavage,4 day,0,mg/kg,Control
3017664025,117,1,2,thioacetamide,TAA,00017,Repeat,Gavage,4 day,0,mg/kg,Control
3017664026,117,1,4,thioacetamide,TAA,00017,Repeat,Gavage,4 day,0,mg/kg,Control
3017665006,117,2,2,thioacetamide,TAA,00017,Repeat,Gavage,8 day,0,mg/kg,Control
3017665007,117,2,4,thioacetamide,TAA,00017,Repeat,Gavage,8 day,0,mg/kg,Control
3017665008,117,2,5,thioacetamide,TAA,00017,Repeat,Gavage,8 day,0,mg/kg,Control
3017674011,117,3,1,thioacetamide,TAA,00017,Repeat,Gavage,15 day,0,mg/kg,Control
3017674012,117,3,3,thioacetamide,TAA,00017,Repeat,Gavage,15 day,0,mg/kg,Control
3017674013,117,3,5,thioacetamide,TAA,00017,Repeat,Gavage,15 day,0,mg/kg,Control
3017674023,117,4,1,thioacetamide,TAA,00017,Repeat,Gavage,29 day,0,mg/kg,Control
3017674024,117,4,4,thioacetamide,TAA,00017,Repeat,Gavage,29 day,0,mg/kg,Control
3017674025,117,4,5,thioacetamide,TAA,00017,Repeat,Gavage,29 day,0,mg/kg,Control
3017664027,117,5,2,thioacetamide,TAA,00017,Repeat,Gavage,4 day,5,mg/kg,Low
3017664028,117,5,4,thioacetamide,TAA,00017,Repeat,Gavage,4 day,5,mg/kg,Low
3017664029,117,5,5,thioacetamide,TAA,00017,Repeat,Gavage,4 day,5,mg/kg,Low
3017665009,117,6,3,thioacetamide,TAA,00017,Repeat,Gavage,8 day,5,mg/kg,Low
3017665010,117,6,4,thioacetamide,TAA,00017,Repeat,Gavage,8 day,5,mg/kg,Low
3017665011,117,6,5,thioacetamide,TAA,00017,Repeat,Gavage,8 day,5,mg/kg,Low
3017674014,117,7,1,thioacetamide,TAA,00017,Repeat,Gavage,15 day,5,mg/kg,Low
3017674015,117,7,4,thioacetamide,TAA,00017,Repeat,Gavage,15 day,5,mg/kg,Low
3017674016,117,7,5,thioacetamide,TAA,00017,Repeat,Gavage,15 day,5,mg/kg,Low
3017674026,117,8,1,thioacetamide,TAA,00017,Repeat,Gavage,29 day,5,mg/kg,Low
3017674027,117,8,2,thioacetamide,TAA,00017,Repeat,Gavage,29 day,5,mg/kg,Low
3017674028,117,8,3,thioacetamide,TAA,00017,Repeat,Gavage,29 day,5,mg/kg,Low
3017664030,117,9,3,thioacetamide,TAA,00017,Repeat,Gavage,4 day,15,mg/kg,Middle
3017665001,117,9,4,thioacetamide,TAA,00017,Repeat,Gavage,4 day,15,mg/kg,Middle
3017665002,117,9,5,thioacetamide,TAA,00017,Repeat,Gavage,4 day,15,mg/kg,Middle
3017665012,117,10,1,thioacetamide,TAA,00017,Repeat,Gavage,8 day,15,mg/kg,Middle
3017665013,117,10,2,thioacetamide,TAA,00017,Repeat,Gavage,8 day,15,mg/kg,Middle
3017665014,117,10,4,thioacetamide,TAA,00017,Repeat,Gavage,8 day,15,mg/kg,Middle
3017674017,117,11,1,thioacetamide,TAA,00017,Repeat,Gavage,15 day,15,mg/kg,Middle
3017674018,117,11,3,thioacetamide,TAA,00017,Repeat,Gavage,15 day,15,mg/kg,Middle
3017674019,117,11,5,thioacetamide,TAA,00017,Repeat,Gavage,15 day,15,mg/kg,Middle
3017674029,117,12,2,thioacetamide,TAA,00017,Repeat,Gavage,29 day,15,mg/kg,Middle
3017674030,117,12,3,thioacetamide,TAA,00017,Repeat,Gavage,29 day,15,mg/kg,Middle
3017675001,117,12,4,thioacetamide,TAA,00017,Repeat,Gavage,29 day,15,mg/kg,Middle
3017665003,117,13,1,thioacetamide,TAA,00017,Repeat,Gavage,4 day,45,mg/kg,High
3017665004,117,13,2,thioacetamide,TAA,00017,Repeat,Gavage,4 day,45,mg/kg,High
3017665005,117,13,4,thioacetamide,TAA,00017,Repeat,Gavage,4 day,45,mg/kg,High
3017665015,117,14,1,thioacetamide,TAA,00017,Repeat,Gavage,8 day,45,mg/kg,High
3017665016,117,14,3,thioacetamide,TAA,00017,Repeat,Gavage,8 day,45,mg/kg,High
3017665017,117,14,4,thioacetamide,TAA,00017,Repeat,Gavage,8 day,45,mg/kg,High
3017674020,117,15,1,thioacetamide,TAA,00017,Repeat,Gavage,15 day,45,mg/kg,High
3017674021,117,15,2,thioacetamide,TAA,00017,Repeat,Gavage,15 day,45,mg/kg,High
3017674022,117,15,3,thioacetamide,TAA,00017,Repeat,Gavage,15 day,45,mg/kg,High
3017675002,117,16,1,thioacetamide,TAA,00017,Repeat,Gavage,29 day,45,mg/kg,High
3017675003,117,16,2,thioacetamide,TAA,00017,Repeat,Gavage,29 day,45,mg/kg,High
3017675004,117,16,3,thioacetamide,TAA,00017,Repeat,Gavage,29 day,45,mg/kg,High
3017668023,123,1,1,omeprazole,OPZ,00012,Single,Gavage,3 hr,0,mg/kg,Control
3017668024,123,1,2,omeprazole,OPZ,00012,Single,Gavage,3 hr,0,mg/kg,Control
3017668025,123,1,5,omeprazole,OPZ,00012,Single,Gavage,3 hr,0,mg/kg,Control
3017669005,123,2,2,omeprazole,OPZ,00012,Single,Gavage,6 hr,0,mg/kg,Control
3017669006,123,2,4,omeprazole,OPZ,00012,Single,Gavage,6 hr,0,mg/kg,Control
3017669007,123,2,5,omeprazole,OPZ,00012,Single,Gavage,6 hr,0,mg/kg,Control
3017667029,123,3,1,omeprazole,OPZ,00012,Single,Gavage,9 hr,0,mg/kg,Control
3017667030,123,3,4,omeprazole,OPZ,00012,Single,Gavage,9 hr,0,mg/kg,Control
3017668001,123,3,5,omeprazole,OPZ,00012,Single,Gavage,9 hr,0,mg/kg,Control
3017668011,123,4,2,omeprazole,OPZ,00012,Single,Gavage,24 hr,0,mg/kg,Control
3017668012,123,4,3,omeprazole,OPZ,00012,Single,Gavage,24 hr,0,mg/kg,Control
3017668013,123,4,4,omeprazole,OPZ,00012,Single,Gavage,24 hr,0,mg/kg,Control
3017668026,123,5,2,omeprazole,OPZ,00012,Single,Gavage,3 hr,100,mg/kg,Low
3017668027,123,5,4,omeprazole,OPZ,00012,Single,Gavage,3 hr,100,mg/kg,Low
3017668028,123,5,5,omeprazole,OPZ,00012,Single,Gavage,3 hr,100,mg/kg,Low
3017669008,123,6,3,omeprazole,OPZ,00012,Single,Gavage,6 hr,100,mg/kg,Low
3017669009,123,6,4,omeprazole,OPZ,00012,Single,Gavage,6 hr,100,mg/kg,Low
3017669010,123,6,5,omeprazole,OPZ,00012,Single,Gavage,6 hr,100,mg/kg,Low
3017668002,123,7,2,omeprazole,OPZ,00012,Single,Gavage,9 hr,100,mg/kg,Low
3017668003,123,7,3,omeprazole,OPZ,00012,Single,Gavage,9 hr,100,mg/kg,Low
3017668004,123,7,5,omeprazole,OPZ,00012,Single,Gavage,9 hr,100,mg/kg,Low
3017668014,123,8,1,omeprazole,OPZ,00012,Single,Gavage,24 hr,100,mg/kg,Low
3017668015,123,8,2,omeprazole,OPZ,00012,Single,Gavage,24 hr,100,mg/kg,Low
3017668016,123,8,5,omeprazole,OPZ,00012,Single,Gavage,24 hr,100,mg/kg,Low
3017668029,123,9,1,omeprazole,OPZ,00012,Single,Gavage,3 hr,300,mg/kg,Middle
3017668030,123,9,2,omeprazole,OPZ,00012,Single,Gavage,3 hr,300,mg/kg,Middle
3017669001,123,9,5,omeprazole,OPZ,00012,Single,Gavage,3 hr,300,mg/kg,Middle
3017669011,123,10,1,omeprazole,OPZ,00012,Single,Gavage,6 hr,300,mg/kg,Middle
3017669012,123,10,3,omeprazole,OPZ,00012,Single,Gavage,6 hr,300,mg/kg,Middle
3017669013,123,10,5,omeprazole,OPZ,00012,Single,Gavage,6 hr,300,mg/kg,Middle
3017668005,123,11,1,omeprazole,OPZ,00012,Single,Gavage,9 hr,300,mg/kg,Middle
3017668006,123,11,3,omeprazole,OPZ,00012,Single,Gavage,9 hr,300,mg/kg,Middle
3017668007,123,11,5,omeprazole,OPZ,00012,Single,Gavage,9 hr,300,mg/kg,Middle
3017668017,123,12,1,omeprazole,OPZ,00012,Single,Gavage,24 hr,300,mg/kg,Middle
3017668018,123,12,3,omeprazole,OPZ,00012,Single,Gavage,24 hr,300,mg/kg,Middle
3017668019,123,12,5,omeprazole,OPZ,00012,Single,Gavage,24 hr,300,mg/kg,Middle
3017669002,123,13,1,omeprazole,OPZ,00012,Single,Gavage,3 hr,1000,mg/kg,High
3017669003,123,13,2,omeprazole,OPZ,00012,Single,Gavage,3 hr,1000,mg/kg,High
3017669004,123,13,3,omeprazole,OPZ,00012,Single,Gavage,3 hr,1000,mg/kg,High
3017669014,123,14,1,omeprazole,OPZ,00012,Single,Gavage,6 hr,1000,mg/kg,High
3017669015,123,14,2,omeprazole,OPZ,00012,Single,Gavage,6 hr,1000,mg/kg,High
3017669016,123,14,4,omeprazole,OPZ,00012,Single,Gavage,6 hr,1000,mg/kg,High
3017668008,123,15,1,omeprazole,OPZ,00012,Single,Gavage,9 hr,1000,mg/kg,High
3017668009,123,15,3,omeprazole,OPZ,00012,Single,Gavage,9 hr,1000,mg/kg,High
3017668010,123,15,5,omeprazole,OPZ,00012,Single,Gavage,9 hr,1000,mg/kg,High
3017668020,123,16,2,omeprazole,OPZ,00012,Single,Gavage,24 hr,1000,mg/kg,High
3017668021,123,16,3,omeprazole,OPZ,00012,Single,Gavage,24 hr,1000,mg/kg,High
3017668022,123,16,5,omeprazole,OPZ,00012,Single,Gavage,24 hr,1000,mg/kg,High
3017698023,124,1,2,omeprazole,OPZ,00012,Repeat,Gavage,4 day,0,mg/kg,Control
3017698024,124,1,3,omeprazole,OPZ,00012,Repeat,Gavage,4 day,0,mg/kg,Control
3017698025,124,1,4,omeprazole,OPZ,00012,Repeat,Gavage,4 day,0,mg/kg,Control
3017699005,124,2,2,omeprazole,OPZ,00012,Repeat,Gavage,8 day,0,mg/kg,Control
3017699006,124,2,3,omeprazole,OPZ,00012,Repeat,Gavage,8 day,0,mg/kg,Control
3017699007,124,2,5,omeprazole,OPZ,00012,Repeat,Gavage,8 day,0,mg/kg,Control
3017667006,124,3,2,omeprazole,OPZ,00012,Repeat,Gavage,15 day,0,mg/kg,Control
3017667007,124,3,4,omeprazole,OPZ,00012,Repeat,Gavage,15 day,0,mg/kg,Control
3017667008,124,3,5,omeprazole,OPZ,00012,Repeat,Gavage,15 day,0,mg/kg,Control
3017667018,124,4,1,omeprazole,OPZ,00012,Repeat,Gavage,29 day,0,mg/kg,Control
3017667019,124,4,2,omeprazole,OPZ,00012,Repeat,Gavage,29 day,0,mg/kg,Control
3017667020,124,4,4,omeprazole,OPZ,00012,Repeat,Gavage,29 day,0,mg/kg,Control
3017698026,124,5,2,omeprazole,OPZ,00012,Repeat,Gavage,4 day,100,mg/kg,Low
3017698027,124,5,3,omeprazole,OPZ,00012,Repeat,Gavage,4 day,100,mg/kg,Low
3017698028,124,5,5,omeprazole,OPZ,00012,Repeat,Gavage,4 day,100,mg/kg,Low
3017699008,124,6,2,omeprazole,OPZ,00012,Repeat,Gavage,8 day,100,mg/kg,Low
3017699009,124,6,4,omeprazole,OPZ,00012,Repeat,Gavage,8 day,100,mg/kg,Low
3017699010,124,6,5,omeprazole,OPZ,00012,Repeat,Gavage,8 day,100,mg/kg,Low
3017667009,124,7,1,omeprazole,OPZ,00012,Repeat,Gavage,15 day,100,mg/kg,Low
3017667010,124,7,3,omeprazole,OPZ,00012,Repeat,Gavage,15 day,100,mg/kg,Low
3017667011,124,7,5,omeprazole,OPZ,00012,Repeat,Gavage,15 day,100,mg/kg,Low
3017677016,124,8,2,omeprazole,OPZ,00012,Repeat,Gavage,29 day,100,mg/kg,Low
